input_position,input_url,normalized_url,source_workbook,best_entity,best_matching_domain,lexical_score,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,deep_analysis_candidate,deep_analysis_dns_accepted,deep_analysis_attempted,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,confidence_band,best_score,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,reason,exclusion_stage
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtelpayments.bank.in,0.9048,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-merchants.club,,0,True,lexical_hit,True,False,False,no_records,rejected,,not_attempted,,,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
4,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtel.in,0.9714,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtele.xyz,,0,True,lexical_hit,True,False,False,dns_error,rejected,,not_attempted,,,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
5,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,parivahan sewa,parivahan.gov.in,0.9474,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,paarivahan.com,,0,True,lexical_hit,True,False,False,dns_error,rejected,,not_attempted,,,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
6,airtell.ai,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Airtel,airtel.in,0.9714,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtell.ai,,0,True,lexical_hit,True,True,True,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://airtell.ai/"", waiting until ""domcontentloaded""",,,,Low,0.0,False,False,False,,,fetch_timeout_or_fetch_failed,fetch_timeout_or_fetch_failed,hashing_shortlist
7,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,Axis Bank,axis.bank.in,0.9143,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,True,True,True,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://axisupi.com/ | Call log: - navigating to ""https://axisupi.com/"", waiting until ""domcontentloaded""",,,,Low,0.0,False,False,False,,,fetch_timeout_or_fetch_failed,fetch_timeout_or_fetch_failed,hashing_shortlist
8,uidaiaadhardownload.com,https://uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,0.8526,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,True,True,True,resolved,accepted,fetched,available,,,https://uidaiaadhardownload.com/,,,Low,58.134,True,True,False,,score_threshold,,,
9,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,State Bank of India (SBI),sbicard.com,0.85,True,True,True,False,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbireward.com,,0,True,lexical_hit,True,False,False,dns_error,rejected,,not_attempted,,,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
11,torana.com,https://torana.com,AIGR-S66270_Ground_Truth.xlsx,Coal India,coalindiatenders.nic.in,0.6389,False,False,False,True,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,True,False,False,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
12,dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,https://dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,AIGR-S66270_Ground_Truth.xlsx,HDFC Bank,hdfc.com,0.5755,False,False,False,True,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,True,False,False,dns_error,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
13,smilesvoegol.servebbs.org/voegol.php,https://smilesvoegol.servebbs.org/voegol.php,AIGR-S66270_Ground_Truth.xlsx,All India Institute of Medical Sciences (AIIMS),aiimsexams.ac.in,0.5583,False,False,False,True,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,True,False,False,dns_error,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,0.0,False,False,False,,,dns_rejected,dns_rejected,dns_gate
